customer_id,age,tenure,monthly_charges,total_charges,contract_type,payment_method,churn
CUST_00001,56,17,60.49,1056.15,One year,Bank transfer,0
CUST_00002,69,2,109.94,213.34,Month-to-month,Bank transfer,1
CUST_00003,46,5,36.61,230.31,Two year,Electronic check,0
CUST_00004,32,72,86.32,6235.7,Month-to-month,Electronic check,1
CUST_00005,60,18,40.45,859.99,Month-to-month,Electronic check,1
CUST_00006,25,8,61.57,491.36,Month-to-month,Bank transfer,1
CUST_00007,38,72,74.06,5311.44,One year,Credit card,0
CUST_00008,56,72,77.73,5660.47,Month-to-month,Electronic check,1
CUST_00009,36,13,80.25,1077.24,Month-to-month,Electronic check,0
CUST_00010,40,7,84.01,547.6,One year,Bank transfer,0
CUST_00011,28,43,47.18,2072.44,Month-to-month,Electronic check,0
CUST_00012,28,30,60.14,1814.33,One year,Bank transfer,0
CUST_00013,41,27,23.73,645.06,One year,Mailed check,0
CUST_00014,70,53,96.88,5156.46,Two year,Bank transfer,0
CUST_00015,53,28,103.71,2944.44,One year,Electronic check,1
CUST_00016,57,8,39.92,328.86,One year,Electronic check,0
CUST_00017,41,28,40.14,1110.74,Month-to-month,Bank transfer,0
CUST_00018,20,8,24.2,298.03,Month-to-month,Electronic check,1
CUST_00019,39,34,117.04,3977.35,Month-to-month,Credit card,1
CUST_00020,70,23,100.72,2383.41,One year,Credit card,0
CUST_00021,19,1,56.07,27.96,Month-to-month,Electronic check,1
CUST_00022,41,17,68.19,1116.93,One year,Credit card,1
CUST_00023,61,10,49.2,540.51,Month-to-month,Electronic check,1
CUST_00024,47,9,79.72,704.8,One year,Credit card,0
CUST_00025,55,22,91.73,1921.07,Month-to-month,Mailed check,1
CUST_00026,19,9,64.74,572.41,One year,Electronic check,1
CUST_00027,38,36,107.36,3890.31,Two year,Credit card,0
CUST_00028,50,1,71.7,36.88,One year,Credit card,0
CUST_00029,29,25,34.43,819.79,Month-to-month,Bank transfer,0
CUST_00030,39,39,82.23,3216.64,One year,Bank transfer,0
CUST_00031,61,26,66.22,1664.67,One year,Credit card,0
CUST_00032,42,16,113.57,1832.47,One year,Bank transfer,1
CUST_00033,66,72,59.19,4313.45,Two year,Electronic check,0
CUST_00034,44,8,60.29,547.35,Month-to-month,Mailed check,0
CUST_00035,59,0,85.08,0.0,Two year,Credit card,1
CUST_00036,45,13,72.7,1034.08,Month-to-month,Credit card,1
CUST_00037,33,0,57.44,29.37,One year,Credit card,1
CUST_00038,32,72,118.98,8532.97,Month-to-month,Electronic check,1
CUST_00039,64,5,50.22,230.02,Month-to-month,Bank transfer,1
CUST_00040,68,37,47.75,1731.83,Two year,Electronic check,0
CUST_00041,61,35,106.44,3622.75,Month-to-month,Bank transfer,1
CUST_00042,72,5,20.34,172.74,Two year,Bank transfer,0
CUST_00043,69,23,40.13,933.83,Month-to-month,Electronic check,0
CUST_00044,74,1,79.04,111.54,One year,Bank transfer,1
CUST_00045,20,15,36.25,548.72,One year,Electronic check,0
CUST_00046,54,0,118.58,0.0,Month-to-month,Mailed check,1
CUST_00047,68,60,66.42,4002.49,Month-to-month,Mailed check,1
CUST_00048,24,72,79.74,5789.08,Month-to-month,Credit card,0
CUST_00049,38,6,36.04,263.7,Two year,Mailed check,0
CUST_00050,26,5,48.94,299.32,One year,Electronic check,1
CUST_00051,56,33,81.46,2690.7,Month-to-month,Electronic check,1
CUST_00052,35,7,74.96,406.32,Month-to-month,Bank transfer,1
CUST_00053,21,54,98.44,5349.71,Month-to-month,Electronic check,1
CUST_00054,42,20,46.92,941.97,One year,Credit card,1
CUST_00055,31,10,85.35,953.23,Two year,Credit card,1
CUST_00056,67,42,49.1,2156.95,One year,Bank transfer,0
CUST_00057,26,16,78.68,1313.9,Month-to-month,Bank transfer,1
CUST_00058,43,58,80.5,4600.17,One year,Bank transfer,0
CUST_00059,70,63,32.18,1971.91,Two year,Mailed check,0
CUST_00060,19,4,74.86,325.56,One year,Electronic check,1
CUST_00061,37,0,21.19,0.0,Two year,Bank transfer,0
CUST_00062,45,72,70.12,5092.85,Month-to-month,Credit card,0
CUST_00063,64,56,89.75,5072.28,One year,Credit card,0
CUST_00064,24,1,27.28,105.33,One year,Credit card,0
CUST_00065,61,42,113.87,4837.2,One year,Credit card,0
CUST_00066,25,14,65.88,902.96,One year,Electronic check,0
CUST_00067,64,7,113.84,793.66,Month-to-month,Electronic check,1
CUST_00068,52,50,30.74,1494.64,Month-to-month,Mailed check,1
CUST_00069,31,5,114.99,588.31,Two year,Bank transfer,1
CUST_00070,34,70,30.92,2055.63,Month-to-month,Mailed check,1
CUST_00071,53,5,66.15,316.1,Two year,Credit card,1
CUST_00072,67,22,113.8,2538.55,One year,Bank transfer,0
CUST_00073,57,6,43.27,290.45,Month-to-month,Bank transfer,0
CUST_00074,21,18,23.48,466.02,Two year,Electronic check,0
CUST_00075,19,27,99.31,2628.4,One year,Electronic check,1
CUST_00076,23,5,79.59,333.76,Month-to-month,Mailed check,1
CUST_00077,71,17,71.39,1243.44,Month-to-month,Credit card,0
CUST_00078,59,15,23.43,303.72,Two year,Mailed check,0
CUST_00079,21,1,85.32,26.75,One year,Bank transfer,1
CUST_00080,71,40,37.16,1497.11,One year,Credit card,0
CUST_00081,46,9,113.12,1016.74,One year,Electronic check,1
CUST_00082,35,20,88.57,1890.83,Month-to-month,Electronic check,1
CUST_00083,43,17,90.7,1560.49,Two year,Bank transfer,1
CUST_00084,61,17,43.26,744.08,Month-to-month,Bank transfer,0
CUST_00085,51,2,108.08,188.25,Month-to-month,Credit card,1
CUST_00086,27,13,73.77,1000.36,Month-to-month,Electronic check,1
CUST_00087,53,14,105.71,1478.43,Month-to-month,Mailed check,0
CUST_00088,31,31,47.09,1433.85,One year,Mailed check,0
